,analogue_name
0,Вино RED WINE кр. п/сл. (Россия) 1L
1,Виски WILLIAM LAWSON'S купажированный алк.40% (Россия) 0.7L
2,Вода питьевая СВЯТОЙ ИСТОЧНИК природная негаз. ПЭТ (Россия) 1.5L
3,Квас 365 ДНЕЙ фильтрованный паст. ПЭТ (Россия) 1.5L
4,Кетчуп HEINZ томатный дой-пак (Россия) 320г
5,"Кефир 365 ДНЕЙ 2,5% пл без змж (Россия) 800г"
6,Конфеты MERCI Ассорти (Германия) 250г
7,Конфеты TOFFIFEE Орешки в карамели (Германия) 125г
8,Напиток ароматизированный MARTINI Bianco виноградосодерж. из виноград. сырья бел. сл. (Италия) 1L
9,Напиток безалкогольный ADRENALINE Rush Энергия энергетический газ ж/б (Россия) 0.449L
10,Напиток безалкогольный DRIVE ME Оригинальный энерг. газ. ж/б (Россия) 0.449L
11,Напиток безалкогольный ДОБРЫЙ Кола с/газ ПЭТ (Россия) 1L
12,Напиток безалкогольный ЧЕРНОГОЛОВКА Кола сильногаз. ПЭТ (Россия) 2L
13,Печенье прослоенное глазированное LOTTE Choco Pie Чокопай 12шт (Россия) 336г
14,"Пиво светлое БАЛТИКА Классическое N3 паст. алк.4,8% ж/б (Россия) 0.45L"
15,"Пиво СТАРЫЙ МЕЛЬНИК Мягкое из бочонка светлое пастер. алк.4,3% ст. (Россия) 0.45L"
16,Сахар 365 ДНЕЙ СВ ТС2 (Россия) 1000г
17,Сметана ПРОСТОКВАШИНО 15% без змж (Россия) 300г
18,Чипсы LAY'S Сметана и лук (Россия) 225г
19,Чипсы картофельные LAY'S Краб (Россия) 140г
20,Шоколадные батончики SNICKERS Super (Россия) 80 г
21,Яйцо куриное АЗОVO С1 (Россия) 10шт
